ID,SEQUENCE,POS
1482,"The _ the song ended , the guy set down , at another table .","DT : DT NN VBD , DT NN VBD RB , IN DT NN ."
1483,Got kinda long legs .,VBN RB JJ NNS .
1484,"To Judy , from Mom .","IN NNP , IN NN ."
1485,Tyler felt the guilt of this memory even in his teenage years .,NNP VBD DT NN IN DT NN RB IN PRP$ JJ NNS .
1486,"If you 're really ambitious , set a goal of helping others become fluent in the language .","IN PRP VBP RB JJ , VB DT NN IN VBG NNS VB JJ IN DT NN ."
1487,She lay tense in the dark .,PRP VBD JJ IN DT NN .
1488,"As a foreign visitor , you are not expected to know how to wai , nor to reciprocate when wai'd to ;","IN DT JJ NN , PRP VBP RB VBN TO VB WRB TO VB , CC TO VB WRB VBN IN :"
1489,2 3/4 cups ( 345 g ) self raising flour,CD CD NNS -LRB- CD NNS -RRB- NN VBG NN
1490,Biologist Nick Bos tells Wikinews about ' self - medicating ' ants,NN NNP NNP VBZ NNP IN `` NN HYPH VBG '' NNS
1491,"Today , the threat to our democracy from the Presidency itself has ended , but the challenges we face as a nation remain .","NN , DT NN IN PRP$ NN IN DT NNP PRP VBZ VBN , CC DT NNS PRP VBP IN DT NN VB ."
1492,I have oregano .,PRP VBP NN .
1493,"Growing Beavertail can be done at any time of year by scattering seeds in a shady bed or , for faster results , planting cuttings in a mix of soil and sand and ensuring that they have a bit of water and plenty of sun .","VBG NNP MD VB VBN IN DT NN IN NN IN VBG NNS IN DT JJ NN CC , IN JJR NNS , VBG NNS IN DT NN IN NN CC NN CC VBG IN PRP VBP DT NN IN NN CC NN IN NN ."
1494,Last Year over 4 million visitors attended the event and this year the city expects about 6 million visitors according to the event website .,JJ NN RB CD CD NNS VBD DT NN CC DT NN DT NN VBZ RB CD CD NNS VBG IN DT NN NN .
1495,L'Enfant was recruited by Pierre Augustin Caron de Beaumarchais to serve in the American Revolutionary War in the United States .,NNP VBD VBN IN NNP NNP NNP NNP NNP TO VB IN DT NNP NNP NNP IN DT NNP NNPS .
1496,"After Theodorus had been assisting Pachomius at Tabennese for several years following his demotion , Pachomius became very ill and seemed to be on the verge of death .","IN NNP VBD VBN VBG NNP IN NNP IN JJ NNS VBG PRP$ NN , NNP VBD RB JJ CC VBD TO VB IN DT NN IN NN ."
1497,"Nevertheless , the past is over and it is the future that beckons us now .","RB , DT NN VBZ JJ CC PRP VBZ DT NN WDT VBZ PRP RB ."
1498,Repeat until the chicken stops moving or squawking .,VB IN DT NN VBZ VBG CC VBG .
1499,"Her limbs were weathered and ringed , like the branches of trees in the dry country .","PRP$ NNS VBD JJ CC JJ , IN DT NNS IN NNS IN DT JJ NN ."
1500,you 're dwibbling .,PRP VBP VBG .
1501,I think .,PRP VBP .
1502,Is it in the United States now ?,VBZ PRP IN DT NNP NNPS RB .
1503,Who stood up for the Constitution and the laws ?,WP VBD RP IN DT NNP CC DT NNS .
1504,And I have a meeting tonight .,CC PRP VBP DT NN NN .
1505,It would seem like an incredible coincidence if the realists were right that our moral judgments are nonetheless true .,PRP MD VB IN DT JJ NN IN DT NNS VBD JJ IN PRP$ JJ NNS VBP RB JJ .
1506,Oh such a beautiful aerosol .,UH PDT DT JJ NN .
1507,"The e-mail said , ' Frank , I have never bothered you during the game , but I just wanted to say thank you for your work and thank you for making some sense of the successes and failures and I wish you much success with your work . '","DT NN VBD , `` NNP , PRP VBP RB VBN PRP IN DT NN , CC PRP RB VBD TO VB VBP PRP IN PRP$ NN CC VBP PRP IN VBG DT NN IN DT NNS CC NNS CC PRP VBP PRP JJ NN IN PRP$ NN . ''"
1508,"I wanted to feel the rough edge of the pocket of his coat against my cheek , but I was too tall .","PRP VBD TO VB DT JJ NN IN DT NN IN PRP$ NN IN PRP$ NN , CC PRP VBD RB JJ ."
1509,"As soon as your friends understand your language , communicate to them with it .","RB RB IN PRP$ NNS VBP PRP$ NN , VB IN PRP IN PRP ."
1510,"For their part , African American soldiers welcomed the opportunity to prove themselves .","IN PRP$ NN , JJ JJ NNS VBD DT NN TO VB PRP ."
1511,"she thinks that you lack a serious nature . """,PRP VBZ IN PRP VBP DT JJ NN . ''
1512,Ooh .,UH .
1513,And it was in a grandmother bar by the waterfront _ sipping hot tea with rum and watching over the shoulders of dockworkers playing mah - jongg _ that I first heard of the valley of giants .,CC PRP VBD IN DT NN NN IN DT NN : VBG JJ NN IN NN CC VBG IN DT NNS IN NNS VBG NN HYPH NN : IN PRP RB VBD IN DT NN IN NNS .
1514,We the leaders must deliver for we the peoples .,PRP DT NNS MD VB IN PRP DT NNS .
1515,"From the first pad , many more will form .","IN DT JJ NN , JJ JJR MD VB ."
1516,January - june 2016 philippine power demand,NNP SYM NNP CD JJ NN NN
1517,"For instance , the evolutionary theory regards artistic beauty as _ fitness signal _ that displays desirable personal qualities that strengthen reproductive advantage , and our pleasant feeling caused by something beautiful , like sexual pleasure , is engraved in our minds by the process of evolution , assisting us to make the _ the most adaptive decisions for survival and reproduction . _ [ 41 ]","IN NN , DT JJ NN VBZ JJ NN IN `` NN NN '' WDT VBZ JJ JJ NNS WDT VBP JJ NN , CC PRP$ JJ NN VBN IN NN JJ , IN JJ NN , VBZ VBN IN PRP$ NNS IN DT NN IN NN , VBG PRP TO VB DT `` DT RBS JJ NNS IN NN CC NN . '' -LRB- CD -RRB-"
1518,If it was a review or not .,IN PRP VBD DT NN CC RB .
1519,Our study is organized as follows .,PRP$ NN VBZ VBN IN VBZ .
1520,We observe that this item fulfils a crucial need shared by all languages _ the efficient signalling of problems of hearing and understanding _ and we propose that its form is constrained by selective pressures in a conversational environment that is essentially the same in all languages .,PRP VBP IN DT NN VBZ DT JJ NN VBN IN DT NNS : DT JJ NN IN NNS IN NN CC NN : CC PRP VBP IN PRP$ NN VBZ VBN IN JJ NNS IN DT JJ NN WDT VBZ RB DT JJ IN DT NNS .
1521,Cleveland from lakefront .,NNP IN NN .
1522,My hair is in a bun .,PRP$ NN VBZ IN DT NN .
1523,Yes .,UH .
1524,"In short , many important research questions will benefit from the availability of accurate and frequently - recollected census data .","IN JJ , JJ JJ NN NNS MD VB IN DT NN IN JJ CC RB HYPH VBN NN NNS ."
1525,"As well as appearing in films , Goode has appeared in numerous television shows .","RB RB IN VBG IN NNS , NNP VBZ VBN IN JJ NN NNS ."
1526,and ... ( how do I best explain this ? ),CC : -LRB- WRB VBP PRP RBS VB DT . -RRB-
1527,"Now I was ready to make and to bake _ only in my heart , actually _ a small , perfect unleavened wafer to eat with my beloved Paschal Lamb .","RB PRP VBD JJ TO VB CC TO VB : RB IN PRP$ NN , RB : DT JJ , JJ JJ NN TO VB IN PRP$ JJ NNP NNP ."
1528,Another theme Higuchi repeated was the ambition and cruelty of the Meiji middle class .,DT NN NNP VBD VBD DT NN CC NN IN DT NNP JJ NN .
1529,"Tasmania was excluded from the study - where an voluntary iodine fortification program using iodised salt in bread , is ongoing .","NNP VBD VBN IN DT NN : WRB DT JJ NN NN NN VBG VBN NN IN NN , VBZ JJ ."
1530,"Discovery has already been retired following the completion of STS - 133 last month , its 39th mission .","NNP VBZ RB VBN VBN VBG DT NN IN NNP HYPH CD JJ NN , PRP$ JJ NN ."
1531,"Currently exurbs such as Apache Junction , Fountain Hills , Queen Creek , and Sun City are becoming part of this metropolitan area as well .","RB NNS JJ IN NNP NNP , NNP NNP , NNP NNP , CC NNP NNP VBP VBG NN IN DT JJ NN RB RB ."
1532,Oh no .,UH UH .
1533,Did they train you _,VBD PRP VB PRP :
1534,"The six studies tested L2 learners after periods of 1 month to 50 years of limited L2 exposure , mainly on general language skills [ 17 ] , [ 18 ] , [ 21 ] , [ 23 ] , [ 24 ] , though also on more specific paradigms meant to target aspects of grammatical abilities [ 17 ] , [ 18 ] or lexical abilities [ 22 ] , [ 23 ] .","DT CD NNS VBD NN NNS IN NNS IN CD NN IN CD NNS IN JJ NN NN , RB IN JJ NN NNS -LRB- CD -RRB- , -LRB- CD -RRB- , -LRB- CD -RRB- , -LRB- CD -RRB- , -LRB- CD -RRB- , RB RB IN RBR JJ NNS VBN TO VB NNS IN JJ NNS -LRB- CD -RRB- , -LRB- CD -RRB- CC JJ NNS -LRB- CD -RRB- , -LRB- CD -RRB- ."
1535,"Later in 1689 a revolution broke out in Moscow , and with the troops under his command Gordon virtually decided events in favour of Peter the Great , [ 3 ] and against the Regent , Tsarevna Sophia Alekseyevna .","RBR IN CD DT NN VBD RP IN NNP , CC IN DT NNS IN PRP$ NN NNP RB VBD NNS IN NN IN NNP DT NNP , -LRB- CD -RRB- CC IN DT NNP , NNP NNP NNP ."
1536,She was a big big big mama .,PRP VBD DT JJ JJ JJ NN .
1537,"We get over 14 million unique visitors per month ( source : Google Analytics ) , which makes us the 135th most popular site according to Quantcast .","PRP VBP RB CD CD JJ NNS IN NN -LRB- NN : NNP NNP -RRB- , WDT VBZ PRP DT RB RBS JJ NN VBG IN NNP ."
1538,Thank you !,VBP PRP .
1539,Oh .,UH .
1540,"Refusing to work or communicate and demanding a new leader , many of the elder monks completely abandoned any notion of obedience to Horsiesios .","VBG TO VB CC VB CC VBG DT JJ NN , JJ IN DT JJ NNS RB VBD DT NN IN NN IN NNP ."
1541,"And as I walked by the shallow crystal stream I saw unwonted ripples tipped with yellow light , as if those placid waters were drawn on in resistless currents to strange oceans that are not in the world .","CC IN PRP VBD IN DT JJ NN NN PRP VBD JJ NNS VBN IN JJ NN , IN IN DT JJ NNS VBD VBN RP IN JJ NNS IN JJ NNS WDT VBP RB IN DT NN ."
1542,I sorry .,PRP JJ .
1543,But I just thought that _,CC PRP RB VBD IN :
1544,"To make a difference in America you must have the "" Bully Pulpit "" and speak to the People .",TO VB DT NN IN NNP PRP MD VB DT `` NN NN '' CC VB IN DT NNS .
1545,I have no idea .,PRP VBP DT NN .
1546,"If she wakes up , fine .","IN PRP VBZ RP , JJ ."
1547,The car rental area and parking is well integrated .,DT NN NN NN CC NN VBZ RB VBN .
1548,Mine was developmental .,PRP VBD JJ .
1549,We then housed the ants in nests I made using Y - tong [ aerated concrete ] .,PRP RB VBD DT NNS IN NNS PRP VBD VBG NNP HYPH NNP -LRB- VBN NN -RRB- .
1550,No ?,UH .
1551,"Late in his life he published Analytic Syntax ( 1937 ) , in which he presents his views on syntactic structure using an idiosyncratic shorthand notation .","RB IN PRP$ NN PRP VBD NNP NNP -LRB- CD -RRB- , IN WDT PRP VBZ PRP$ NNS IN JJ NN VBG DT JJ NN NN ."
1552,"In 24 games , Holt batted .292 with a triple and 3 RBI .","IN CD NNS , NNP VBD CD IN DT JJ CC CD NNS ."
1553,"The philosopher Michael Ruse takes this to show that the apparent objectivity of morality is something like an _ illusion _ foisted on us by our genes ( Ruse [ 1986 ] 1998 , 253 ) .","DT NN NNP NNP VBZ DT TO VB IN DT JJ NN IN NN VBZ NN IN DT `` NN '' VBN IN PRP IN PRP$ NNS -LRB- NNP -LRB- CD -RRB- CD , CD -RRB- ."
1554,Perfect Teeth,NNP NNP
1555,Is the Indian government well prepared to deal with this cyclone ?,VBZ DT JJ NN RB VBN TO VB IN DT NN .
1556,That is Dad .,DT VBZ NN .
1557,"Opening night , January 23 , 2014 , of the Andy Warhol exhibit of Polaroids and screen prints at the University of Southern Indiana .","VBG NN , NNP CD , CD , IN DT NNP NNP NN IN NNS CC NN NNS IN DT NNP IN NNP NNP ."
1558,"Her eyes water constantly , now .","PRP$ NNS VBP RB , RB ."
1559,"If you have a strong aversion to this outcome , aiming head - downward before impact in the manner of an Olympic diver may ensure the destruction of your cranium and your immediate demise .","IN PRP VBP DT JJ NN IN DT NN , VBG NN HYPH RB IN NN IN DT NN IN DT JJ NN MD VB DT NN IN PRP$ NN CC PRP$ JJ NN ."
1560,Daniel Bernoulli FRS ( German pronunciation : [ b___n_li ] ; 8 February 1700 _ 17 March 1782 ) was a Swiss mathematician and physicist and was one of the many prominent mathematicians in the Bernoulli family .,NNP NNP NNP -LRB- JJ NN : -LRB- NNP -RRB- : CD NNP CD SYM CD NNP CD -RRB- VBD DT JJ NN CC NN CC VBD CD IN DT JJ JJ NNS IN DT NNP NN .
1561,... love story and romance and surprises and tragedies and all this but also this structure interested me a lot .,: NN NN CC NN CC NNS CC NNS CC PDT DT CC RB DT NN VBD PRP DT NN .
1562,Pan - democracy camp councillor Wu Chi-wai of the Democratic Party was elected .,NN HYPH NN NN NN NNP NNP IN DT NNP NNP VBD VBN .
1563,"It emphasizes consumerism , the belief that success always goes to people who merit it due to their abilities , dedication and qualifications , and reinforces , rather than changes , existing ideas related to gender , ethnicity and nationality .","PRP VBZ NN , DT NN IN NN RB VBZ IN NNS WP VBP PRP JJ IN PRP$ NNS , NN CC NNS , CC VBZ , RB IN NNS , VBG NNS JJ IN NN , NN CC NN ."
1564,She was in the hospital three times .,PRP VBD IN DT NN CD NNS .
1565,Background,NN
1566,How to Pack Your Possessions When Moving,WRB TO VB PRP$ NNS WRB VBG
1567,My friend Andrea is a biology major so we did stop to look at many slugs that were on the ground and I did beeline it away from the slugs .,PRP$ NN NNP VBZ DT NN NN RB PRP VBD VB TO VB IN JJ NNS WDT VBD IN DT NN CC PRP VBD VB PRP RB IN DT NNS .
1568,"In the wild , Formica fusca can encounter similar chemicals in aphids and dead ants .","IN DT NN , FW FW MD VB JJ NNS IN NNS CC JJ NNS ."
1569,"The far end of part of the convention floor , shortly after opening Friday .","DT JJ NN IN NN IN DT NN NN , RB IN VBG NNP ."
1570,"Oh , my God .","UH , PRP$ NNP ."
1571,"Birkholm Is only 1 km ² and home of a stubborn but loving 8 people , making it one of the smallest populated islands in the country , how long the island can sustain a full year population remains to be seen , but permanent life on the island will probably be a thing of the past in a not too distant future .","NNP VBZ RB CD NN JJ CC NN IN DT JJ CC VBG CD NNS , VBG PRP CD IN DT JJS VBN NNS IN DT NN , WRB RB DT NN MD VB DT JJ NN NN VBZ TO VB VBN , CC JJ NN IN DT NN MD RB VB DT NN IN DT NN IN DT RB RB JJ NN ."
1572,Yeah .,UH .
1573,Without a tie .,IN DT NN .
1574,_ No thanks to you ! _ came the little voice .,`` DT NNS IN PRP . '' VBD DT JJ NN .
1575,"Lovely , lovely wine .","JJ , JJ NN ."
1576,"And so , how did Carolyn react ?","CC RB , WRB VBD NNP VB ."
1577,"She also worked with a number of other notable directors such as Michelangelo Antonioni ( La notte and Beyond the Clouds ) , Orson Welles ( The Trial , Chimes at Midnight and The Immortal Story ) , Luis Buñuel ( Diary of a Chambermaid ) , Elia Kazan ( The Last Tycoon ) , Rainer Werner Fassbinder ( Querelle ) , Wim Wenders ( Until the End of the World ) , Carl Foreman ( Champion and The Victors ) , and Manoel de Oliveira ( Gebo et l' Ombre ) .","PRP RB VBD IN DT NN IN JJ JJ NNS JJ IN NNP NNP -LRB- NNP NNP CC IN DT NNP -RRB- , NNP NNP -LRB- DT NNP , NNP IN NNP CC DT NNP NNP -RRB- , NNP NNP -LRB- NNP IN DT NNP -RRB- , NNP NNP -LRB- DT JJ NN -RRB- , NNP NNP NNP -LRB- NNP -RRB- , NNP NNP -LRB- IN DT NN IN DT NNP -RRB- , NNP NNP -LRB- NNP CC DT NNPS -RRB- , CC NNP NNP NNP -LRB- NNP NNP NNP NNP -RRB- ."
1578,"You remember your first trip to the upper levels : leaning over the edge into the angry swarm of mites , whirring and buzzing warnings and shoving you back like a million mosquito chaperones .","PRP VBP PRP$ JJ NN IN DT JJ NNS : VBG IN DT NN IN DT JJ NN IN NNS , VBG CC VBG NNS CC VBG PRP RB IN DT CD NN NNS ."
1579,Right ?,JJ .
1580,"I was home all night last night , I came home and told you .","PRP VBD RB DT NN JJ NN , PRP VBD RB CC VBD PRP ."
1581,Libertarians share many policy positions with each of the major parties .,NNPS VBP JJ NN NNS IN DT IN DT JJ NNS .
1582,"No , no !","UH , UH ."
1583,Image credit : Public Domain,NN NN : NNP NNP
1584,This is necessary to remove the excess saponins on the outside of the grains which impart a bitter flavor to quinoa if not removed .,DT VBZ JJ TO VB DT JJ NNS IN DT NN IN DT NNS WDT VBP DT JJ NN IN NN IN RB VBN .
1585,Th _ twenty - one two three four five six seven eight .,UH : CD HYPH CD CD CD CD CD CD CD CD .
1586,Maybe Harold you should come with me .,RB NNP PRP MD VB IN PRP .
1587,Whatever it is that the common Manhattan water - pixie uses for blood .,WP PRP VBZ WDT DT JJ NNP NN HYPH NN VBZ IN NN .
1588,"You must avoid simply copying the grammar rules , however , as this would technically turn your language into a code .","PRP MD VB RB VBG DT NN NNS , RB , IN DT MD RB VB PRP$ NN IN DT NN ."
1589,North America,NNP NNP
1590,"They do make a host of florescent proteins , and these may interact with the light of the ROV to give that gorgeous glow .","PRP VBP VB DT NN IN JJ NNS , CC DT MD VB IN DT NN IN DT NN TO VB DT JJ NN ."
1591,"Yay , thank you so much !","UH , VBP PRP RB JJ ."
1592,"3 Imam Mosque ( called Shah Mosque before the revolution ) , Naqsh-e Jahan Square , south side .","LS NNP NNP -LRB- VBN NNP NN IN DT NN -RRB- , NNP NNP NNP , NN NN ."
1593,I mean z _ i square root of two over three _ square root of three .,PRP VBP NN : NN JJ NN IN CD IN CD : JJ NN IN CD .
1594,"I am the master of my fate ,","PRP VBP DT NN IN PRP$ NN ,"
1595,Tape is cheap .,NN VBZ JJ .
1596,Should be pretty stable .,MD VB RB JJ .
