,SEQUENCE,POS,NLTK,CORENLP,SPACY,FLAIR,OPENNLP,STANZA
1537,"We get over 14 million unique visitors per month ( source : Google Analytics ) , which makes us the 135th most popular site according to Quantcast .","PRP VBP RB CD CD JJ NNS IN NN -LRB- NN : NNP NNP -RRB- , WDT VBZ PRP DT RB RBS JJ NN VBG IN NNP .","PRP VBP IN CD CD JJ NNS IN NN ( NN : NNP NNP ) , WDT VBZ PRP DT CD RBS JJ NN VBG TO NNP .","PRP VBP IN CD CD JJ NNS IN NN -LRB- NN : NNP NNP -RRB- , WDT VBZ PRP DT JJ RBS JJ NN VBG IN NN .","PRP VBP IN CD CD JJ NNS IN NN -LRB- NN : NNP NNPS -RRB- , WDT VBZ PRP DT JJ RBS JJ NN VBG IN NNP .","PRP VBP IN CD CD JJ NNS IN NN , NN : NNP NNP -RRB- , WDT VBZ PRP DT RB RBS JJ NN VBG IN NNP .","PRP VBP IN CD CD JJ NNS IN NN -LRB- NN : JJ NNS -RRB- , WDT VBZ PRP DT JJ RBS JJ NN VBG TO NNP .","PRP VBP RB CD CD JJ NNS IN NN -LRB- NN : NNP NNP -RRB- , WDT VBZ PRP DT RB RBS JJ NN VBG IN NNP ."
1538,Thank you !,VBP PRP .,NNP PRP .,VBP PRP .,VBP PRP .,VBP PRP .,VB PRP .,VBP PRP .
1539,Oh .,UH .,UH .,UH .,UH .,UH .,UH .,UH .
1540,"Refusing to work or communicate and demanding a new leader , many of the elder monks completely abandoned any notion of obedience to Horsiesios .","VBG TO VB CC VB CC VBG DT JJ NN , JJ IN DT JJ NNS RB VBD DT NN IN NN IN NNP .","VBG TO VB CC VB CC VBG DT JJ NN , JJ IN DT NN NNS RB VBD DT NN IN NN TO NNP .","VBG TO VB CC VB CC VBG DT JJ NN , JJ IN DT NN NNS RB VBD DT NN IN NN IN NNP .","VBG TO VB CC VB CC VBG DT JJ NN , JJ IN DT JJR NNS RB VBD DT NN IN NN IN NNP .","VBG TO VB CC VB CC VBG DT JJ NN , JJ IN DT JJR NNS RB VBD DT NN IN NN IN NNP .","VBG TO VB CC VB CC VBG DT JJ NN , JJ IN DT JJR NNS RB VBD DT NN IN NN TO NNP .","VBG TO VB CC VB CC VBG DT JJ NN , JJ IN DT NN NNS RB VBD DT NN IN NN IN NNP ."
1541,"And as I walked by the shallow crystal stream I saw unwonted ripples tipped with yellow light , as if those placid waters were drawn on in resistless currents to strange oceans that are not in the world .","CC IN PRP VBD IN DT JJ NN NN PRP VBD JJ NNS VBN IN JJ NN , IN IN DT JJ NNS VBD VBN RP IN JJ NNS IN JJ NNS WDT VBP RB IN DT NN .","CC IN PRP VBD IN DT JJ NN NN PRP VBD JJ NNS VBD IN JJ NN , IN IN DT JJ NNS VBD VBN IN IN NN NNS TO VB NNS WDT VBP RB IN DT NN .","CC IN PRP VBD IN DT JJ NN NN PRP VBD JJ NNS VBN IN JJ NN , IN IN DT JJ NNS VBD VBN IN IN JJ NNS IN JJ NNS WDT VBP RB IN DT NN .","CC IN PRP VBD IN DT JJ NN NN PRP VBD JJ NNS VBN IN JJ NN , IN IN DT JJ NNS VBD VBN IN IN JJ NNS TO JJ NNS WDT VBP RB IN DT NN .","CC IN PRP VBD IN DT JJ NN NN PRP VBD JJ NNS VBN IN JJ NN , IN IN DT JJ NNS VBD VBN RP IN JJ NNS IN JJ NNS WDT VBP RB IN DT NN .","CC IN PRP VBD IN DT JJ NN NN PRP VBD JJ NNS VBD IN JJ NN , IN IN DT JJ NNS VBD VBN IN IN JJ NNS TO JJ NNS WDT VBP RB IN DT NN .","CC IN PRP VBD IN DT JJ NN NN PRP VBD JJ NNS VBN IN JJ NN , IN IN DT JJ NNS VBD VBN RP IN JJ NNS IN JJ NNS WDT VBP RB IN DT NN ."
1542,I sorry .,PRP JJ .,PRP VBP .,PRP UH .,PRP VBP .,PRP UH .,PRP JJ .,PRP JJ .
1543,But I just thought that _,CC PRP RB VBD IN :,CC PRP RB VBD IN NN,CC PRP RB VBD IN :,CC PRP RB VBD IN :,CC PRP RB VBD DT .,CC PRP RB VBD DT NN,CC PRP RB VBD DT :
1544,"To make a difference in America you must have the "" Bully Pulpit "" and speak to the People .",TO VB DT NN IN NNP PRP MD VB DT `` NN NN '' CC VB IN DT NNS .,TO VB DT NN IN NNP PRP MD VB DT NNP NNP NNP NNP CC VB TO DT NNP .,TO VB DT NN IN NNP PRP MD VB DT `` NNP NNP '' CC VB IN DT NNS .,TO VB DT NN IN NNP PRP MD VB DT `` NNP NNP '' CC VB IN DT NNS .,TO VB DT NN IN NNP PRP MD VB DT `` NNP NNP '' CC VB IN DT NNPS .,TO VB DT NN IN NNP PRP MD VB DT `` NNP NNP '' CC VB TO DT NNS .,TO VB DT NN IN NNP PRP MD VB DT `` NNP NNP '' CC VB IN DT NNS .
1545,I have no idea .,PRP VBP DT NN .,PRP VBP DT NN .,PRP VBP DT NN .,PRP VBP DT NN .,PRP VBP DT NN .,PRP VBP DT NN .,PRP VBP DT NN .
1546,"If she wakes up , fine .","IN PRP VBZ RP , JJ .","IN PRP VBZ RP , NN .","IN PRP VBZ RP , JJ .","IN PRP VBZ RP , JJ .","IN PRP VBZ RP , JJ .","IN PRP VBZ RP , JJ .","IN PRP VBZ RP , JJ ."
1547,The car rental area and parking is well integrated .,DT NN NN NN CC NN VBZ RB VBN .,DT NN JJ NN CC NN VBZ RB JJ .,DT NN NN NN CC NN VBZ RB VBN .,DT NN NN NN CC NN VBZ RB JJ .,DT NN JJ NN CC NN VBZ RB JJ .,DT NN JJ NN CC NN VBZ RB VBN .,DT NN NN NN CC NN VBZ RB VBN .
1548,Mine was developmental .,PRP VBD JJ .,NNP VBD JJ .,PRP VBD JJ .,NN VBD JJ .,NN VBD JJ .,PRP VBD JJ .,PRP VBD JJ .
1549,We then housed the ants in nests I made using Y - tong [ aerated concrete ] .,PRP RB VBD DT NNS IN NNS PRP VBD VBG NNP HYPH NNP -LRB- VBN NN -RRB- .,PRP RB VBD DT NNS IN NNS PRP VBD VBG NNP : JJ NN VBD JJ NN .,PRP RB VBD DT NNS IN NNS PRP VBD VBG NN HYPH NN -LRB- VBN NN -RRB- .,PRP RB VBD DT NNS IN NNS PRP VBD VBG NNP HYPH NNP -LRB- VBN NN -RRB- .,PRP RB VBD DT NNS IN NNS PRP VBD VBG NNP HYPH NNP -LRB- VBN NN -RRB- .,PRP RB VBD DT NNS IN NNS PRP VBD VBG FW : JJ NN VBD JJ SYM .,PRP RB VBD DT NNS IN NNS PRP VBD VBG NNP HYPH NNP -LRB- VBN NN -RRB- .
1550,No ?,UH .,DT .,DT .,UH .,UH .,UH .,UH .
1551,"Late in his life he published Analytic Syntax ( 1937 ) , in which he presents his views on syntactic structure using an idiosyncratic shorthand notation .","RB IN PRP$ NN PRP VBD NNP NNP -LRB- CD -RRB- , IN WDT PRP VBZ PRP$ NNS IN JJ NN VBG DT JJ NN NN .","RB IN PRP$ NN PRP VBD JJ NNP ( CD ) , IN WDT PRP VBZ PRP$ NNS IN JJ NN VBG DT JJ NN NN .","RB IN PRP$ NN PRP VBD NNP NNP -LRB- CD -RRB- , IN WDT PRP VBZ PRP$ NNS IN JJ NN VBG DT JJ NN NN .","RB IN PRP$ NN PRP VBD NNP NNP -LRB- CD -RRB- , IN WDT PRP VBZ PRP$ NNS IN JJ NN VBG DT JJ NN NN .","RB IN PRP$ NN PRP VBD NNP NNP : CD -RRB- , IN WDT PRP VBZ PRP$ NNS IN JJ NN VBG DT JJ NN NN .","RB IN PRP$ NN PRP VBD JJ NN -LRB- CD -RRB- , IN WDT PRP VBZ PRP$ NNS IN JJ NN VBG DT JJ NN NN .","RB IN PRP$ NN PRP VBD NNP NNP -LRB- CD -RRB- , IN WDT PRP VBZ PRP$ NNS IN JJ NN VBG DT JJ NN NN ."
1552,"In 24 games , Holt batted .292 with a triple and 3 RBI .","IN CD NNS , NNP VBD CD IN DT JJ CC CD NNS .","IN CD NNS , NNP VBD NNP IN DT NN CC CD NNP .","IN CD NNS , NNP VBD CD IN DT JJ CC CD NN .","IN CD NNS , NNP VBD CD IN DT JJ CC CD NNP .","IN CD NNS , NNP VBD <UNK> IN DT JJ CC CD NN .","IN CD NNS , NN VBD CD IN DT JJ CC CD NN .","IN CD NNS , NNP VBD CD IN DT NN CC CD NNS ."
1553,"The philosopher Michael Ruse takes this to show that the apparent objectivity of morality is something like an _ illusion _ foisted on us by our genes ( Ruse [ 1986 ] 1998 , 253 ) .","DT NN NNP NNP VBZ DT TO VB IN DT JJ NN IN NN VBZ NN IN DT `` NN '' VBN IN PRP IN PRP$ NNS -LRB- NNP -LRB- CD -RRB- CD , CD -RRB- .","DT NN NNP NNP VBZ DT TO VB IN DT JJ NN IN NN VBZ NN IN DT JJ NN NNP VBD IN PRP IN PRP$ NNS ( NNP NNP CD NN CD , CD ) .","DT NN NNP NNP VBZ DT TO VB IN DT JJ NN IN NN VBZ NN IN DT `` NN '' VBD IN PRP IN PRP$ NNS -LRB- NN -LRB- CD -RRB- CD , CD -RRB- .","DT NN NNP NNP VBZ DT TO VB IN DT JJ NN IN NN VBZ NN IN DT `` NN '' VBN IN PRP IN PRP$ NNS -LRB- VB -LRB- CD -RRB- CD , CD -RRB- .","DT NN NNP NNP VBZ DT TO VB IN DT JJ NN IN NN VBZ NN IN DT `` NN VBN VBN IN PRP IN PRP$ NNS -LRB- NNP -LRB- CD -RRB- CD , CD -RRB- .","DT NN NNP NNP VBZ DT TO VB IN DT JJ NN IN NN VBZ NN IN DT JJ NN NN VBD IN PRP IN PRP$ NNS -LRB- NNP NNP CD NNP CD , CD -RRB- .","DT NN NNP NNP VBZ DT TO VB IN DT JJ NN IN NN VBZ NN IN DT `` NN '' VBN IN PRP IN PRP$ NNS -LRB- NNP -LRB- CD -RRB- CD , CD -RRB- ."
1554,Perfect Teeth,NNP NNP,NNP NNP,JJ NN,NNP NNP,JJ NNP,JJ NNP,JJ NNS
1555,Is the Indian government well prepared to deal with this cyclone ?,VBZ DT JJ NN RB VBN TO VB IN DT NN .,VBZ DT JJ NN RB VBD TO VB IN DT NN .,VBZ DT JJ NN RB JJ TO VB IN DT NN .,VBZ DT JJ NN RB VBD TO VB IN DT NN .,VBZ DT JJ NN RB JJ TO VB IN DT NN .,VBZ DT JJ NN RB VBN TO VB IN DT NN .,VBZ DT JJ NN RB VBN TO VB IN DT NN .
1556,That is Dad .,DT VBZ NN .,DT VBZ NNP .,DT VBZ NNP .,DT VBZ NNP .,DT VBZ NNP .,DT VBZ NNP .,DT VBZ NN .
1557,"Opening night , January 23 , 2014 , of the Andy Warhol exhibit of Polaroids and screen prints at the University of Southern Indiana .","VBG NN , NNP CD , CD , IN DT NNP NNP NN IN NNS CC NN NNS IN DT NNP IN NNP NNP .","VBG NN , NNP CD , CD , IN DT NNP NNP NN IN NNP CC JJ NNS IN DT NNP IN NNP NNP .","VBG NN , NNP CD , CD , IN DT NNP NNP NN IN NNS CC NN NNS IN DT NNP IN NNP NNP .","NN NN , NNP CD , CD , IN DT NNP NNP NN IN NNPS CC NN NNS IN DT NNP IN NNP NNP .","NN NN , NNP CD , CD , IN DT NNP NNP NN IN NNPS CC NN NNS IN DT NNP IN NNP NNP .","NNP NN , NNP CD , CD , IN DT NNP NNP NN IN NNP CC NN NNS IN DT NNP IN NNP NNP .","VBG NN , NNP CD , CD , IN DT NNP NNP NN IN NNS CC NN NNS IN DT NNP IN NNP NNP ."
1558,"Her eyes water constantly , now .","PRP$ NNS VBP RB , RB .","PRP$ NNS NN RB , RB .","PRP$ NNS NN RB , RB .","PRP$ NNS NN RB , RB .","PRP$ NNS NN RB , RB .","PRP$ NNS NN RB , RB .","PRP$ NNS VBP RB , RB ."
1559,"If you have a strong aversion to this outcome , aiming head - downward before impact in the manner of an Olympic diver may ensure the destruction of your cranium and your immediate demise .","IN PRP VBP DT JJ NN IN DT NN , VBG NN HYPH RB IN NN IN DT NN IN DT JJ NN MD VB DT NN IN PRP$ NN CC PRP$ JJ NN .","IN PRP VBP DT JJ NN TO DT NN , VBG NN : NN IN NN IN DT NN IN DT NNP NN MD VB DT NN IN PRP$ NN CC PRP$ JJ NN .","IN PRP VBP DT JJ NN IN DT NN , VBG NN HYPH JJ IN NN IN DT NN IN DT JJ NN MD VB DT NN IN PRP$ NN CC PRP$ JJ NN .","IN PRP VBP DT JJ NN IN DT NN , VBG NN HYPH JJ IN NN IN DT NN IN DT JJ NN MD VB DT NN IN PRP$ NN CC PRP$ JJ NN .","IN PRP VBP DT JJ NN IN DT NN , VBG NN HYPH RB IN NN IN DT NN IN DT NNP NN MD VB DT NN IN PRP$ NN CC PRP$ JJ NN .","IN PRP VBP DT JJ NN TO DT NN , VBG NN : JJ IN NN IN DT NN IN DT NNP NN MD VB DT NN IN PRP$ NN CC PRP$ JJ NN .","IN PRP VBP DT JJ NN IN DT NN , VBG NN HYPH RB IN NN IN DT NN IN DT JJ NN MD VB DT NN IN PRP$ NN CC PRP$ JJ NN ."
1560,Daniel Bernoulli FRS ( German pronunciation : [ b___n_li ] ; 8 February 1700 _ 17 March 1782 ) was a Swiss mathematician and physicist and was one of the many prominent mathematicians in the Bernoulli family .,NNP NNP NNP -LRB- JJ NN : -LRB- NNP -RRB- : CD NNP CD SYM CD NNP CD -RRB- VBD DT JJ NN CC NN CC VBD CD IN DT JJ JJ NNS IN DT NNP NN .,NNP NNP NNP ( JJ NN : JJ NN NNP : CD NNP CD NNP CD NNP CD ) VBD DT JJ NN CC NN CC VBD CD IN DT JJ JJ NNS IN DT NNP NN .,NNP NNP NNP -LRB- JJ NN : -LRB- NNP -RRB- : CD NNP CD SYM CD NNP CD -RRB- VBD DT JJ NN CC NN CC VBD CD IN DT JJ JJ NNS IN DT NNP NN .,NNP NNP NNP -LRB- JJ NN : -LRB- NNP -RRB- : CD NNP CD : CD NNP CD -RRB- VBD DT JJ NN CC NN CC VBD CD IN DT JJ JJ NNS IN DT NNP NN .,"NNP NNP NNP : JJ NN : -LRB- NNP -RRB- , CD NNP CD CD CD NNP CD : VBD DT JJ NN CC NN CC VBD CD IN DT JJ JJ NNS IN DT NNP NN .",NNP NNP NNP -LRB- JJ NN : NN NNS SYM : CD NNP CD NN CD NNP CD -RRB- VBD DT JJ NN CC NN CC VBD CD IN DT JJ JJ NNS IN DT NNP NN .,NNP NNP NNP -LRB- JJ NN : -LRB- NNP -RRB- : CD NNP CD SYM CD NNP CD -RRB- VBD DT JJ NN CC NN CC VBD CD IN DT JJ JJ NNS IN DT NNP NN .
1561,... love story and romance and surprises and tragedies and all this but also this structure interested me a lot .,: NN NN CC NN CC NNS CC NNS CC PDT DT CC RB DT NN VBD PRP DT NN .,: NN NN CC NN CC NNS CC NNS CC PDT DT CC RB DT NN VBD PRP DT NN .,NFP NN NN CC NN CC NNS CC NNS CC PDT DT CC RB DT NN JJ PRP DT NN .,: NN NN CC NN CC NNS CC NNS CC PDT DT CC RB DT NN VBD PRP DT NN .,NFP NN NN CC NN CC NNS CC NNS CC PDT DT CC RB DT NN VBD PRP DT NN .,: NN NN CC NN CC NNS CC NNS CC PDT DT CC RB DT NN VBN PRP DT NN .,", NN NN CC NN CC NNS CC NNS CC PDT DT CC RB DT NN VBD PRP DT NN ."
1562,Pan - democracy camp councillor Wu Chi-wai of the Democratic Party was elected .,NN HYPH NN NN NN NNP NNP IN DT NNP NNP VBD VBN .,NNP : NN NN NN NNP NNP IN DT NNP NNP VBD VBN .,NNP HYPH NN NN NN NNP <UNK> IN DT NNP NNP VBD VBN .,JJ HYPH NN NN NN NNP <UNK> IN DT NNP NNP VBD VBN .,NNP HYPH NN NN NN NNP NNP IN DT NNP NNP VBD VBN .,NNP : NN NN NN NNP NNP IN DT JJ NNP VBD VBN .,NN HYPH NN NN NN NNP NNP IN DT NNP NNP VBD VBN .
1563,"It emphasizes consumerism , the belief that success always goes to people who merit it due to their abilities , dedication and qualifications , and reinforces , rather than changes , existing ideas related to gender , ethnicity and nationality .","PRP VBZ NN , DT NN IN NN RB VBZ IN NNS WP VBP PRP JJ IN PRP$ NNS , NN CC NNS , CC VBZ , RB IN NNS , VBG NNS JJ IN NN , NN CC NN .","PRP VBZ NN , DT NN IN NN RB VBZ TO NNS WP VBP PRP JJ TO PRP$ NNS , NN CC NNS , CC NNS , RB IN NNS , VBG NNS VBN TO VB , NN CC NN .","PRP VBZ NN , DT NN IN NN RB VBZ IN NNS WP VBP PRP JJ IN PRP$ NNS , NN CC NNS , CC VBZ , RB IN NNS , VBG NNS VBN IN NN , NN CC NN .","PRP VBZ NN , DT NN IN NN RB VBZ IN NNS WP VBP PRP IN IN PRP$ NNS , NN CC NNS , CC NNS , RB IN NNS , VBG NNS VBN IN NN , NN CC NN .","PRP VBZ NN , DT NN IN NN RB VBZ IN NNS WP VBP PRP IN IN PRP$ NNS , NN CC NNS , CC VBZ , RB IN NNS , VBG NNS VBN IN NN , NN CC NN .","PRP VBZ NN , DT NN IN NN RB VBZ TO NNS WP VBP PRP JJ TO PRP$ NNS , NN CC NNS , CC NNS , RB IN NNS , VBG NNS VBN TO VB , NN CC NN .","PRP VBZ NN , DT NN IN NN RB VBZ IN NNS WP VBP PRP IN IN PRP$ NNS , NN CC NNS , CC VBZ , RB IN NNS , VBG NNS JJ IN NN , NN CC NN ."
1564,She was in the hospital three times .,PRP VBD IN DT NN CD NNS .,PRP VBD IN DT NN CD NNS .,PRP VBD IN DT NN CD NNS .,PRP VBD IN DT NN CD NNS .,PRP VBD IN DT NN CD NNS .,PRP VBD IN DT NN CD NNS .,PRP VBD IN DT NN CD NNS .
1565,Background,NN,NN,NN,NN,NN,CC,NN
1566,How to Pack Your Possessions When Moving,WRB TO VB PRP$ NNS WRB VBG,WRB TO VB PRP$ NNS WRB VBG,WRB TO VB PRP$ NNS WRB VBG,WRB TO VB PRP$ NNS WRB VBG,WRB TO VB PRP$ NNS WRB VBG,WRB TO VB PRP$ NNS WRB VBG,WRB TO VB PRP$ NNS WRB VBG
1567,My friend Andrea is a biology major so we did stop to look at many slugs that were on the ground and I did beeline it away from the slugs .,PRP$ NN NNP VBZ DT NN NN RB PRP VBD VB TO VB IN JJ NNS WDT VBD IN DT NN CC PRP VBD VB PRP RB IN DT NNS .,PRP$ NN NNP VBZ DT NN JJ IN PRP VBD VB TO VB IN JJ NNS WDT VBD IN DT NN CC PRP VBD VB PRP RB IN DT NNS .,PRP$ NN NNP VBZ DT NN JJ IN PRP VBD VB TO VB IN JJ NNS WDT VBD IN DT NN CC PRP VBD VB PRP RB IN DT NNS .,PRP$ NN NNP VBZ DT NN NN IN PRP VBD VB TO VB IN JJ NNS WDT VBD IN DT NN CC PRP VBD VB PRP RB IN DT NNS .,PRP$ NN NNP VBZ DT NN NN CC PRP VBD VB TO VB IN JJ NNS WDT VBD IN DT NN CC PRP VBD VB PRP RB IN DT NNS .,PRP$ NN NNP VBZ DT NN JJ IN PRP VBD VB TO VB IN JJ NNS WDT VBD IN DT NN CC PRP VBD NN PRP RB IN DT NNS .,PRP$ NN NNP VBZ DT NN NN RB PRP VBD VB TO VB IN JJ NNS WDT VBD IN DT NN CC PRP VBD VB PRP RB IN DT NNS .
1568,"In the wild , Formica fusca can encounter similar chemicals in aphids and dead ants .","IN DT NN , FW FW MD VB JJ NNS IN NNS CC JJ NNS .","IN DT JJ , NNP NN MD VB JJ NNS IN NNS CC JJ NNS .","IN DT JJ , NNP NNP MD VB JJ NNS IN NNS CC JJ NNS .","IN DT NN , NNP NNP MD VB JJ NNS IN NNS CC JJ NNS .","IN DT NN , NNP NN MD VB JJ NNS IN NNS CC JJ NNS .","IN DT JJ , NNP CC MD VB JJ NNS IN NNS CC JJ NNS .","IN DT NN , NNP FW MD VB JJ NNS IN NNS CC JJ NNS ."
1569,"The far end of part of the convention floor , shortly after opening Friday .","DT JJ NN IN NN IN DT NN NN , RB IN VBG NNP .","DT RB NN IN NN IN DT NN NN , RB IN VBG NNP .","DT JJ NN IN NN IN DT NN NN , RB IN VBG NNP .","DT JJ NN IN NN IN DT NN NN , RB IN NN NNP .","DT JJ NN IN NN IN DT NN NN , RB IN VBG NNP .","DT JJ NN IN NN IN DT NN NN , RB IN VBG NNP .","DT JJ NN IN NN IN DT NN NN , RB IN VBG NNP ."
1570,"Oh , my God .","UH , PRP$ NNP .","UH , PRP$ NNP .","UH , PRP$ NNP .","UH , PRP$ NNP .","UH , UH UH .","UH , PRP$ NNP .","UH , PRP$ NNP ."
1571,"Birkholm Is only 1 km ² and home of a stubborn but loving 8 people , making it one of the smallest populated islands in the country , how long the island can sustain a full year population remains to be seen , but permanent life on the island will probably be a thing of the past in a not too distant future .","NNP VBZ RB CD NN JJ CC NN IN DT JJ CC VBG CD NNS , VBG PRP CD IN DT JJS VBN NNS IN DT NN , WRB RB DT NN MD VB DT JJ NN NN VBZ TO VB VBN , CC JJ NN IN DT NN MD RB VB DT NN IN DT NN IN DT RB RB JJ NN .","NNP VBZ RB CD VBD CD CC NN IN DT JJ CC VBG CD NNS , VBG PRP CD IN DT JJS JJ NNS IN DT NN , WRB RB DT NN MD VB DT JJ NN NN VBZ TO VB VBN , CC JJ NN IN DT NN MD RB VB DT NN IN DT NN IN DT RB RB JJ NN .","NNP VBZ RB CD NN SYM CC NN IN DT JJ CC JJ CD NNS , VBG PRP CD IN DT JJS NN NNS IN DT NN , WRB RB DT NN MD VB DT JJ NN NN VBZ TO VB VBN , CC JJ NN IN DT NN MD RB VB DT NN IN DT NN IN DT RB RB JJ NN .","NNP VBZ RB CD NN NN CC NN IN DT JJ CC VBG CD NNS , VBG PRP CD IN DT JJS JJ NNS IN DT NN , WRB RB DT NN MD VB DT JJ NN NN VBZ TO VB VBN , CC JJ NN IN DT NN MD RB VB DT NN IN DT NN IN DT RB RB JJ NN .","NNP VBZ RB CD NNS , CC NN IN DT JJ CC VBG CD NNS , VBG PRP CD IN DT JJS VBN NNS IN DT NN , WRB RB DT NN MD VB DT JJ NN NN VBZ TO VB VBN , CC JJ NN IN DT NN MD RB VB DT NN IN DT NN IN DT RB RB JJ NN .","NNP VBZ RB CD NN NN CC NN IN DT JJ CC JJ CD NNS , VBG PRP CD IN DT JJS JJ NNS IN DT NN , WRB RB DT NN MD VB DT JJ NN NN VBZ TO VB VBN , CC JJ NN IN DT NN MD RB VB DT NN IN DT NN IN DT RB RB JJ NN .","VBZ RB CD NN JJ CC NN IN DT JJ CC JJ CD NNS , VBG PRP CD IN DT JJS VBN NNS IN DT NN , WRB RB DT NN MD VB DT JJ NN NN VBZ TO VB VBN , CC JJ NN IN DT NN MD RB VB DT NN IN DT NN IN DT RB RB JJ NN ."
1572,Yeah .,UH .,UH .,UH .,UH .,UH .,UH .,UH .
1573,Without a tie .,IN DT NN .,IN DT NN .,IN DT NN .,IN DT NN .,IN DT NN .,IN DT NN .,IN DT NN .
1574,_ No thanks to you ! _ came the little voice .,`` DT NNS IN PRP . '' VBD DT JJ NN .,JJ DT NNS TO PRP . VB VBD DT JJ NN .,`` DT NNS IN PRP . '' VBD DT JJ NN .,`` UH NNS IN PRP . '' VBD DT JJ NN .,"`` DT NNS IN PRP , PRP VBD DT JJ NN .",NN DT NNS TO PRP . PRP VBD DT JJ NN .,`` DT NN IN PRP . '' VBD DT JJ NN .
1575,"Lovely , lovely wine .","JJ , JJ NN .","RB , RB NN .","JJ , JJ NN .","JJ , JJ NN .","JJ , JJ NN .","RB , JJ NN .","JJ , JJ NN ."
1576,"And so , how did Carolyn react ?","CC RB , WRB VBD NNP VB .","CC RB , WRB VBD NNP VB .","CC RB , WRB VBD NNP VB .","CC RB , WRB VBD NNP VB .","CC RB , WRB VBD NNP VB .","CC RB , WRB VBD NNP VB .","CC RB , WRB VBD NNP VB ."
1577,"She also worked with a number of other notable directors such as Michelangelo Antonioni ( La notte and Beyond the Clouds ) , Orson Welles ( The Trial , Chimes at Midnight and The Immortal Story ) , Luis Buñuel ( Diary of a Chambermaid ) , Elia Kazan ( The Last Tycoon ) , Rainer Werner Fassbinder ( Querelle ) , Wim Wenders ( Until the End of the World ) , Carl Foreman ( Champion and The Victors ) , and Manoel de Oliveira ( Gebo et l' Ombre ) .","PRP RB VBD IN DT NN IN JJ JJ NNS JJ IN NNP NNP -LRB- NNP NNP CC IN DT NNP -RRB- , NNP NNP -LRB- DT NNP , NNP IN NNP CC DT NNP NNP -RRB- , NNP NNP -LRB- NNP IN DT NNP -RRB- , NNP NNP -LRB- DT JJ NN -RRB- , NNP NNP NNP -LRB- NNP -RRB- , NNP NNP -LRB- IN DT NN IN DT NNP -RRB- , NNP NNP -LRB- NNP CC DT NNPS -RRB- , CC NNP NNP NNP -LRB- NNP NNP NNP NNP -RRB- .","PRP RB VBD IN DT NN IN JJ JJ NNS JJ IN NNP NNP ( NNP RB CC NNP DT NNP ) , NNP NNP ( DT NNP , NNP IN NNP CC DT NNP NNP ) , NNP NNP ( NNP IN DT NNP ) , NNP NNP ( DT JJ NNP ) , NNP NNP NNP ( NNP ) , NNP NNP ( IN DT NN IN DT NNP ) , NNP NNP ( NNP CC DT NNS ) , CC NNP FW NNP ( NNP RB VBZ NNP ) .","PRP RB VBD IN DT NN IN JJ JJ NNS JJ IN NNP NNP -LRB- NNP NNP CC IN DT NNPS -RRB- , NNP NNP -LRB- DT NNP , VBZ IN NNP CC DT NNP NNP -RRB- , NNP NNP -LRB- NNP IN DT NNP -RRB- , NNP NNP -LRB- DT JJ NN -RRB- , NNP NNP NNP -LRB- NNP -RRB- , NNP NNP -LRB- IN DT NN IN DT NNP -RRB- , NNP NNP -LRB- NNP CC DT NNS -RRB- , CC NNP NNP NNP -LRB- NNP FW FW NNP -RRB- .","PRP RB VBD IN DT NN IN JJ JJ NNS JJ IN NNP NNP -LRB- NNP NN CC IN DT NNPS -RRB- , NNP NNP -LRB- DT NN , NNP IN NNP CC DT NNP NNP -RRB- , NNP NNP -LRB- NNP IN DT NNP -RRB- , NNP NNP -LRB- DT JJ NNP -RRB- , NNP NNP NNP -LRB- NNP -RRB- , NNP NNP -LRB- IN DT NN IN DT NNP -RRB- , NNP NNP -LRB- NNP CC DT NNPS -RRB- , CC NNP NNP NNP -LRB- NNP FW <UNK> NNP -RRB- .","PRP RB VBD IN DT NN IN JJ JJ NNS JJ IN NNP NNP , NNP NNP CC IN DT NNPS -RRB- , NNP NNP , DT NNP , NNPS IN NNP CC DT NNP NNP , , NNP NNP , NNP IN DT NNP -RRB- , NNP NNP , DT NNP NNP , , NNP NNP NNP , NNP -RRB- , NNP NNP , IN DT NNP IN DT NNP -RRB- , NNP NNP , NNP CC DT NNPS -RRB- , CC NNP NNP NNP , NNP FW <UNK> NNP -RRB- .","PRP RB VBD IN DT NN IN JJ JJ NNS JJ IN NNP NNP -LRB- NNP NN CC IN DT NNP -RRB- , NNP NNP -LRB- DT NN , NNP IN NNP CC DT JJ NNP -RRB- , NNP NNP -LRB- NNP IN DT NNP -RRB- , NNP NNP -LRB- DT JJ NN -RRB- , NNP NNP NNP -LRB- NNP -RRB- , NNP VBD -LRB- IN DT NN IN DT NNP -RRB- , NNP NNP -LRB- NNP CC DT NNS -RRB- , CC NNP NNP NNP -LRB- NNP NNP JJ NNP -RRB- .","PRP RB VBD IN DT NN IN JJ JJ NNS JJ IN NNP NNP -LRB- NNP NNP CC IN DT NNP -RRB- , NNP NNP -LRB- DT NNP , NNP IN NNP CC DT NNP NNP -RRB- , NNP NNP -LRB- NNP IN DT NNP -RRB- , NNP NNP -LRB- DT NNP NNP -RRB- , NNP NNP NNP -LRB- NNP -RRB- , NNP NNP -LRB- IN DT NNP IN DT NNP -RRB- , NNP NNP -LRB- NNP CC DT NNPS -RRB- , CC NNP NNP NNP -LRB- NNP NNP NNP NNP -RRB- ."
