,sequence,pos,nltk,corenlp,opennlp,spacy,flair
1501,initializer,NN,NN,NN,NN,NN,NN
1502,d type policy test,FW NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN
1503,float d type policy test,NN FW NN NN NN,NN NN NN NN NN,NN NN NN NN NN,VB NN NN NN NN,VB NN NN NN NN,VB NN NN NN NN
1504,quantized d type policy test,JJ FW NN NN NN,VBN NN NN NN NN,VB NN NN NN NN,VBN NN NN NN NN,VBN NN NN NN NN,VBN NN NN NN NN
1505,d type policy global functions test,FW NN NN JJ NNS NN,NN NN NN JJ NNS NN,NN NN NN JJ NNS NN,NN NN NN JJ NNS NN,NN NN NN JJ NNS NN,NN NN NN JJ NNS NN
1506,float d type policy edge cases test,NN FW NN NN NN NNS NN,NN NN NN NN NN NNS NN,NN NN NN NN NN NNS NN,VB NN NN NN NN NNS NN,VB NN NN NN JJ NNS NN,VB NN NN NN NN NNS NN
1507,quantized d type policy edge cases test,JJ FW NN NN NN NNS NN,VBN NN NN NN NN NNS NN,VB NN NN NN NN NNS NN,VBN NN NN NN NN NNS NN,VBN NN NN NN JJ NNS NN,VBN NN NN NN NN NNS NN
1508,d type policy global functions edge cases test,FW NN NN JJ NNS NN NNS NN,NN NN NN JJ NNS NN NNS NN,NN NN NN JJ NNS NN NNS NN,NN NN NN JJ NNS NN NNS NN,NN NN NN JJ NNS JJ NNS NN,NN NN NN JJ NNS NN NNS NN
1509,d type policy,FW NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
1510,float d type policy,NN FW NN NN,NN NN NN NN,NN NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
1511,quantized d type policy,JJ FW NN NN,VBN NN NN NN,VB NN NN NN,VBN NN NN NN,VBN NN NN NN,VBN NN NN NN
1512,test case,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
1513,get test data test,VB NN NNS NN,VB NN NNS NN,VB NN NNS NN,VB VB NNS VB,VB NN NNS NN,VB NN NNS NN
1514,class distribution tests,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS
1515,named product test,JJ NN NN,VBN NN NN,VBN NN NN,VBN NN NN,VBN NN NN,VBN NN NN
1516,mean metric wrapper,JJ NN NN,VB JJ NN,JJ NN NN,NN NN NN,VB NN NN,VB NN NN
1517,io u base,NNP FW NN,VB NN NN,VB NN NN,VB NN NN,IN NN NN,FW FW NN
1518,io u,NNP FW,VB NN,VB NN,VB NN,NN NN,DT NN
1519,binary io u,NN NNP FW,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,NN NN NN
1520,mean io u,NN NNP FW,VB NN NN,JJ NN NN,NN NN NN,VB NN NN,VB WRB NN
1521,one hot io u,CD JJ NNP FW,CD NN NN NN,CD JJ NN NN,CD NN NN NN,CD NN NN NN,CD NN DT NN
1522,one hot mean io u,CD JJ NN NNP FW,CD JJ NN NN NN,CD JJ NN NN NN,CD NN NN NN NN,CD NN NN NN NN,CD JJ NN DT NN
1523,confusion matrix,NN NN,NN NN,VB NN,NN NN,NN NN,NN NN
1524,auc curve,NNP NN,VB NN,VB NN,VB JJ,NN NN,NN NN
1525,auc summation method,NNP NN NN,VB NN NN,VB NN NN,VB NN NN,NN NN NN,VB NN NN
1526,example metric,NN NN,NN JJ,VB NN,JJ NN,JJ NN,VB NN
1527,metric test,NN NN,JJ NN,NN NN,NN NN,JJ NN,NN NN
1528,f beta score,FW NN NN,VB NN NN,NN NN NN,VB IN NN,FW NN NN,FW NN NN
1529,f 1 score,FW CD NN,FW CD NN,NN CD NN,FW CD NN,FW CD NN,FW CD NN
1530,false positives test,JJ NNS NN,JJ NNS NN,JJ NN NN,VB NNS VB,JJ NNS NN,JJ NNS NN
1531,false negatives test,JJ NNS NN,JJ NNS NN,JJ NN NN,VB NNS VB,JJ NNS NN,JJ NNS NN
1532,true negatives test,JJ NNS NN,JJ NNS NN,JJ NN NN,VB NNS VB,JJ NNS NN,JJ NNS NN
1533,true positive test,JJ JJ NN,JJ JJ NN,JJ NN NN,VB JJ NN,JJ JJ NN,JJ JJ NN
1534,precision test,NN NN,NN NN,VB NN,NN NN,NN NN,NN NN
1535,recall test,NN NN,VB NN,VB NN,VB VB,VB NN,VB NN
1536,sensitivity at specificity test,NN IN NN NN,NN IN NN NN,NN IN NN NN,VB IN NN NN,NN IN NN NN,NN IN NN NN
1537,specificity at sensitivity test,NN IN NN NN,NN IN NN NN,VB IN NN NN,NN IN NN NN,VB IN NN NN,NN IN NN NN
1538,precision at recall test,NN IN NN NN,NN IN JJ NN,VB IN NN NN,NN IN NN NN,NN IN NN NN,NN IN NN NN
1539,recall at precision test,VB IN NN NN,VB IN NN NN,VB IN NN NN,VB IN NN NN,VB IN NN NN,VB IN NN NN
1540,auc test,NNP NN,VB NN,VB NN,VB VB,NN NN,JJ NN
1541,multi auc test,JJ NNP NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
1542,metric,NN,JJ,NN,NN,NN,NN
1543,root mean squared error test,JJ JJ VBN NN NN,VB JJ JJ NN NN,NN NN NN NN NN,NN NN VBN NN NN,VB JJ VBN NN NN,VB NN JJ NN NN
1544,log cosh error test,NN NN NN NN,VB JJ NN NN,VB JJ NN NN,VB FW NN NN,VB NN NN NN,VB NN NN NN
1545,r 2 score test,FW CD NN NN,FW CD NN NN,NN CD NN NN,NN CD NN NN,FW CD NN NN,FW CD NN NN
1546,accuracy test,NN NN,NN NN,VB NN,VB VB,NN NN,NN NN
1547,binary accuracy test,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
1548,categorical accuracy test,JJ NN NN,JJ NN NN,VB NN NN,JJ NN NN,JJ NN NN,JJ NN NN
1549,sparse categorical accuracy test,JJ JJ NN NN,VB JJ NN NN,VB NN NN NN,VB JJ NN NN,VB JJ NN NN,JJ JJ NN NN
1550,top k categorical accuracy test,JJ CD JJ NN NN,JJ NN JJ NN NN,JJ FW FW FW NN,JJ FW JJ NN NN,JJ FW JJ NN NN,JJ FW JJ NN NN
1551,sparse top k categorical accuracy test,JJ JJ CD JJ NN NN,VB JJ NN JJ NN NN,VB JJ FW FW FW NN,VB JJ FW JJ NN NN,VB JJ FW JJ NN NN,VB JJ FW JJ NN NN
1552,f beta score test,FW NN NN NN,VB NN NN NN,NN NN NN NN,VB IN NN NN,FW NN NN NN,FW NN NN NN
1553,f 1 score test,FW CD NN NN,FW CD NN NN,NN CD NN NN,FW CD NN NN,FW CD NN NN,FW CD NN NN
1554,io u test,NNP FW NNP,VB NN NN,VB NN NN,VB NN NN,IN NN NN,IN NN NN
1555,binary io u test,NN NN FW NN,JJ NN JJ NN,JJ NN NN NN,JJ NN NN NN,JJ NN NN NN,NN NN NN NN
1556,mean io u test,NN NNP FW NN,VB NN JJ NN,JJ NN NN NN,NN NN NN NN,VB NN NN NN,VB IN NN NN
1557,one hot io u test,CD JJ NNP FW NN,CD NN NN JJ NN,CD JJ NN NN NN,CD NN NN NN NN,CD NN NN NN NN,CD NN IN NN NN
1558,one hot mean io u test,CD JJ NN NNP FW NN,CD JJ NN JJ NN NN,CD JJ NN NN NN NN,CD NN NN NN NN NN,CD NN NN NN NN NN,CD NN NN IN NN NN
1559,accuracy,NN,NN,VB,VB,NN,NN
1560,binary accuracy,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
1561,categorical accuracy,JJ NN,JJ NN,VB NN,JJ NN,JJ NN,JJ NN
1562,sparse categorical accuracy,JJ JJ NN,VB JJ NN,VB NN NN,VB JJ NN,VB JJ NN,JJ JJ NN
1563,top k categorical accuracy,JJ CD JJ NN,JJ NN JJ NN,JJ FW FW NN,JJ FW JJ NN,JJ FW JJ NN,JJ NN JJ NN
1564,sparse top k categorical accuracy,JJ JJ CD JJ NN,VB JJ NN JJ NN,VB JJ FW FW NN,VB JJ FW JJ NN,VB JJ FW JJ NN,JJ JJ FW JJ NN
1565,root mean squared error,JJ JJ JJ NN,VB JJ JJ NN,NN NN NN NN,NN NN VBN NN,VB JJ VBN NN,NN VB JJ NN
1566,log cosh error,NN NN NN,VB JJ NN,VB JJ NN,VB FW NN,VB NN NN,VB NN NN
1567,r 2 score,FW CD NN,FW CD NN,NN CD NN,NN CD NN,FW CD NN,FW CD NN
1568,confusion matrix condition count,NN NN NN NN,NN NN NN NN,VB NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN
1569,false positives,JJ NNS,JJ NNS,JJ NN,VB NNS,JJ NNS,JJ NNS
1570,false negatives,JJ NNS,JJ NNS,JJ NN,VB NNS,JJ NNS,JJ NNS
1571,true negatives,JJ NNS,JJ NNS,JJ NN,VB NNS,JJ NNS,JJ NNS
1572,true positives,JJ NNS,JJ NNS,JJ NN,VB NNS,JJ NNS,JJ NNS
1573,precision,NN,NN,VB,NN,NN,NN
1574,recall,NN,VB,VB,VB,VB,VB
1575,sensitivity specificity base,NN NN NN,NN NN NN,NN NN NN,VB NN NN,NN NN NN,NN NN NN
1576,sensitivity at specificity,NN IN NN,NN IN NN,NN IN NN,VB IN NN,NN IN NN,NN IN NN
1577,specificity at sensitivity,NN IN NN,NN IN NN,VB IN NN,NN IN NN,VB IN NN,NN IN NN
1578,precision at recall,NN IN NN,NN IN NN,VB IN NN,NN IN NN,NN IN NN,NN IN NN
1579,recall at precision,NN IN NN,VB IN NN,VB IN NN,VB IN NN,VB IN NN,VB IN NN
1580,auc,NNP,VB,VB,VB,NN,NN
1581,sum test,NN NN,VB NN,NN NN,NN NN,NN NN,JJ NN
1582,mean test,NN NN,VB NN,NN NN,VB VB,JJ NN,VB NN
1583,metric wrapper test,NN NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,NN NN NN
1584,callback,NN,NN,NN,NN,NN,NN
1585,callback list,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
1586,swap ema weights test,VB NNP NNS NN,VB NN NNS NN,VB NN NN NN,VB NN NNS NN,VB NNP NN NN,VB NN NNS NN
1587,prog bar logger,NN NN NN,VB NN NN,VB NN NN,NN NN NN,JJ NN NN,NN NN NN
1588,reduce lr on plateau,VB NNP IN NNP,VB NN IN NN,VB NN IN NN,VB NN IN NN,VB NN IN NN,VB FW IN NN
1589,reduce lr on plateau test,VB NNP IN NNP NN,VB NN IN NN NN,VB NN IN JJ NN,VB NN IN NN NN,VB NN IN NN NN,VB FW IN NN NN
1590,learning rate scheduler test,NN NN NN NN,VBG NN NN NN,VB NN NN NN,JJ NN NN NN,VBG NN NNS NN,VBG NN NN NN
1591,learning rate scheduler,NN NN NN,VBG NN NN,VB NN NN,JJ NN NN,VBG NN NNS,VBG NN NN
1592,summary iterator,NN NN,JJ NN,NN NN,NN NN,VB NN,NN NN
1593,summary file,NN NN,JJ NN,NN NN,NN NN,NN NN,JJ NN
1594,test tensor board v 2,VB NN NN NN CD,VB NNP NN NN CD,VB NN NN FW CD,VB NN NN NN CD,VB NN NN FW CD,VB NN NN FW CD
1595,layer with summary,NN IN NN,VB IN JJ,NN IN NN,NN IN NN,NN IN NN,NN IN NN
1596,terminate on na n test,VB IN NNP NN NN,VB IN JJ JJ NN,JJ IN JJ NN NN,VB IN NN NN NN,VB IN FW FW NN,VB IN FW FW NN
1597,callback test,NN NN,VB NN,NN NN,VB VB,NN NN,NN NN
1598,cbk,NNP,VB,VB,VB,NNP,NNP
1599,tensor board,NN NN,VB NN,VB NN,NN NN,VB NN,VB NN
1600,swap ema weights,VB NN NNS,VB NN NNS,VB NN NN,VB NN NNS,VB NNP NN,VB NN NNS
1601,csv logger,NNP NN,VB NN,VB NN,VB NN,VB NN,NN NN
1602,custom dialect,JJ NN,VB NN,JJ NN,JJ VB,JJ NN,NN NN
1603,terminate on na n,VB IN NNP NN,VB IN NN NN,JJ IN NN NN,VB IN NN NN,VB IN FW FW,VB IN FW FW
1604,csv logger test,NNP NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,NNP NN NN
1605,history,NN,NN,NN,NN,NN,NN
1606,lambda callback,NN NN,VB NN,NN NN,VB NN,VB NN,NN NN
1607,model checkpoint,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
1608,lambda callback test,NN NN NN,VB NN NN,NN NN NN,VB NN NN,VB NN NN,NN NN NN
1609,early stopping,JJ NN,RB NN,JJ NN,RB NN,JJ VBG,JJ NN
1610,remote monitor,JJ NN,VB NN,JJ NN,JJ NN,JJ NN,JJ NN
1611,interrupting callback,VBG NN,VBG NN,VB NN,NN NN,VBG NN,JJ NN
1612,canary layer,NNP NN,JJ NN,VB NN,VB NN,JJ NN,VB NN
1613,backup and restore callback test,VB CC VB NN NN,NN CC VB NN NN,JJ CC VB NN NN,NN CC VB NN NN,NN CC VB NN NN,NN CC VB NN NN
1614,model checkpoint test,NN NN NN,NN NN NN,NN NN NN,NN NN VB,NN NN NN,VB NN NN
1615,early stopping test,JJ NN NN,RB VBG NN,JJ NN NN,RB NN NN,RB VBG NN,JJ NN NN
1616,dummy model,JJ NN,VB NN,VB NN,VB NN,VB NN,NN NN
1617,backup and restore,VB CC VB,NN CC NN,JJ CC VB,NN CC VB,NN CC VB,NN CC VB
1618,custom scale layer,JJ NN NN,VB NN NN,JJ NN NN,JJ VB NN,JJ NN NN,JJ NN NN
1619,test image net utils,VB NN NN NNS,VB NN NN NNS,VB NN NN NN,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS
1620,stochastic depth,JJ NN,JJ NN,VB NN,JJ NN,JJ NN,NN NN
1621,layer scale,NN NN,VB NN,NN NN,NN NN,VB NN,NN NN
1622,applications test,NNS NN,NNS NN,VB NN,VB VB,NNS NN,NNS NN
1623,quantizers test,NNS NN,NNS NN,VB NN,VB VB,NNS NN,NNS NN
1624,quantizer,NN,NN,VB,NN,VB,NN
1625,abs max quantizer,JJ NN NNP,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,NNP JJ NN
1626,layer,NN,NN,NN,NN,NN,NN
1627,call spec,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1628,call context,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
1629,input spec,NN NN,NN NN,NN NN,NN NN,VB NN,NN NN
1630,layer test,NN NN,VB NN,NN NN,NN NN,VB NN,NN NN
1631,test layer,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
1632,some layer,DT NN,DT NN,DT NN,DT NN,DT NN,DT NN
1633,rng layer,NNP NN,VB NN,VB NN,NN NN,NN NN,NN NN
1634,rng list layer,NNP NN NN,VB NN NN,VB NN NN,NN NN NN,VB NN NN,NN NN NN
1635,layer with metric,NN IN NN,VB IN JJ,NN IN NN,NN IN NN,NN IN NN,NN IN NN
1636,nested layer with metric,JJ NN IN NN,VBN NN IN JJ,JJ NN IN NN,JJ NN IN NN,JJ NN IN NN,VBN NN IN NN
1637,layer with unbuilt state,NN IN JJ NN,VB IN JJ NN,NN IN NN NN,NN IN JJ NN,NN IN JJ NN,NN IN JJ NN
1638,kwargs layer with unbuilt state,NNP NN IN JJ NN,VB NN IN JJ NN,VB NN IN NN NN,NNS NN IN JJ NN,NNS NN IN JJ NN,NNS NN IN JJ NN
1639,activity regularizer,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
1640,loss layer,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
1641,training layer,NN NN,VBG NN,NN NN,JJ NN,VBG NN,VBG NN
1642,wrapped training layer,JJ NN NN,VB NN NN,JJ NN NN,JJ NN NN,VBN NN NN,VBN NN NN
1643,training layer explicit,NN NN JJ,VBG NN JJ,NN NN JJ,JJ NN JJ,NN NN JJ,VBG NN JJ
1644,inner layer one,JJ NN CD,JJ NN CD,JJ NN CD,JJ NN CD,JJ NN CD,JJ NN CD
1645,inner layer two,JJ NN CD,JJ NN CD,JJ NN CD,JJ NN CD,JJ NN CD,JJ NN CD
1646,inner layer three,JJ NN CD,JJ NN CD,JJ NN CD,JJ NN NN,JJ NN NN,JJ NN CD
1647,mixed precision layer,JJ NN NN,JJ NN NN,VB NN NN,VBN NN NN,JJ NN NN,VBN NN NN
1648,basic masked layer,JJ VBN NN,JJ JJ NN,JJ NN NN,JJ JJ NN,JJ NNS NN,JJ JJ NN
1649,nested input masked layer,JJ NN VBN NN,JJ NN VBN NN,JJ NN NN NN,JJ NN JJ NN,JJ NN JJ NN,VBN NN VBN NN
1650,positional inputs masked layer,JJ NNS VBN NN,JJ NNS VBN NN,VB NNS NN NN,JJ NNS VBN NN,JJ NNS NNS NN,JJ NNS VBN NN
1651,positional nested inputs masked layer,JJ JJ NNS VBN NN,JJ JJ NNS VBN NN,VB JJ NNS NN NN,JJ JJ NNS VBN NN,JJ JJ NNS NNS NN,JJ JJ NNS VBN NN
1652,non trainable weights layer,RB JJ NNS NN,RB JJ NNS NN,RB JJ NN NN,RB JJ NNS NN,RB JJ NN NN,RB JJ NNS NN
1653,nested non trainable weights layer,VBN RB JJ NNS NN,JJ RB JJ NNS NN,JJ RB JJ NN NN,JJ RB JJ NNS NN,JJ RB JJ NNS NN,JJ RB JJ NNS NN
1654,no shape suffix,DT NN NN,DT NN NN,DT NN NN,DT NN NN,DT JJ NN,DT NN NN
1655,non matching argument,RB JJ NN,RB JJ NN,RB JJ NN,RB JJ NN,RB JJ NN,RB JJ NN
1656,matching arguments,JJ NNS,VBG NNS,JJ NNS,JJ NNS,JJ NNS,JJ NNS
1657,subset arguments,NN NNS,VB NNS,NN NNS,NN NNS,NN NNS,NN NNS
1658,single argument,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
1659,no training specified,DT NN VBN,DT NN VBN,DT NN VBN,DT NN VBN,DT NN VBN,DT NN VBN
1660,random crop,JJ NN,JJ NN,JJ NN,JJ VB,JJ NN,JJ NN
1661,mel spectrogram,NNP NN,VB NN,VB NN,NN NN,NN NN,NNP NN
1662,resizing,NN,VBG,VB,NN,NN,VBG
1663,string lookup test,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
1664,index lookup,NN NN,NN NN,VB NN,VB NN,VB NN,NN NN
1665,null initializer,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
1666,index lookup layer test,NN NN NN NN,NN NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
1667,discretization,NN,NN,VB,NN,NN,NN
1668,random contrast test,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
1669,random zoom,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
1670,hashing test,NN NN,VBG NN,VB NN,NN NN,VBG NN,VBG NN
1671,hashed crossing,VBN NN,VBN VBG,VB NN,VBN JJ,VBN NN,VBN NN
1672,hashed crossing test,VBN NN NN,VBN VBG NN,VB NN NN,VBN JJ NN,VBN NN NN,VBN NN NN
1673,random flip,JJ NN,JJ NN,JJ VB,JJ NN,JJ NN,JJ NN
1674,mocked random flip,VBN JJ NN,VBN JJ NN,VB JJ VB,VBN JJ NN,VBN JJ NN,VBN JJ NN
1675,random flip test,JJ NN NN,JJ NN NN,JJ VB NN,JJ NN NN,JJ NN NN,JJ NN NN
1676,feature,NN,VB,VB,VB,VB,NN
1677,feature space,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
1678,random brightness test,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ JJ NN,JJ NN NN
1679,hashing,NN,VBG,VB,VBZ,VBG,NN
1680,integer lookup test,NN NN NN,VB NN NN,NN NN NN,VB NN NN,VB NN NN,VB NN NN
1681,center crop,NN NN,NN NN,JJ NN,NN VB,JJ NN,JJ NN
1682,random contrast,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
1683,text vectorization test,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,VB NN NN
1684,random brightness,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
1685,random rotation test,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
1686,discretization test,NN NN,NN NN,VB NN,VB VB,NN NN,NN NN
1687,random translation,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
1688,resizing test,VBG NN,VBG NN,VB NN,NN NN,JJ NN,VB NN
1689,feature space test,NN NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1690,rescaling,NN,VBG,VB,JJ,NN,VBG
1691,rescaling test,NN NN,VBG NN,VB NN,JJ NN,JJ NN,VBG NN
1692,string lookup,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
1693,random zoom test,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
1694,center crop test,NN NN NN,VB NN NN,JJ NN NN,NN VB NN,JJ NN NN,NN NN NN
1695,normalization,NN,NN,VB,NN,NN,NN
1696,integer lookup,NN NN,VB NN,NN NN,VB NN,VB NN,NN NN
1697,category encoding test,NN NN NN,NN VBG NN,NN NN NN,VB NN NN,NN VBG NN,NN NN NN
1698,mel spectrogram test,NNP NN NN,VB NN NN,VB NN NN,JJ NN NN,NN NN NN,NNP NN NN
1699,random crop test,JJ NN NN,JJ NN NN,JJ NN NN,JJ VB NN,JJ NN NN,JJ NN NN
1700,random rotation,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
1701,tf data layer,NNP NN NN,VB NNS NN,VB NNS NN,VB NNS NN,FW NNS NN,IN NNS NN
1702,category encoding,NN NN,NN VBG,NN NN,NN NN,NN VBG,NN VBG
1703,text vectorization,NN NN,NN NN,NN NN,NN NN,NN NN,VB NN
1704,random translation test,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
1705,normalization test,NN NN,NN NN,VB NN,NN NN,NN NN,NN NN
1706,max pooling 1 d,JJ NN CD FW,JJ VBG CD NN,JJ NN CD NN,JJ JJ CD NN,JJ NN CD FW,JJ VBG CD NN
1707,max pooling 3d,JJ NN NNP,JJ VBG CD,JJ NN NN,JJ JJ NN,JJ NN NNS,JJ VBG CD
1708,average pooling 3d,JJ NN NNP,JJ VBG CD,JJ NN NN,JJ JJ NN,JJ NN NNS,JJ NN CD
1709,average pooling 1 d,JJ NN CD FW,JJ JJ CD NN,JJ NN CD NN,VB JJ CD NN,JJ NN CD FW,JJ NN CD NN
1710,global average pooling 2 d,JJ JJ NN CD FW,JJ NN JJ CD NN,JJ JJ NN CD NN,JJ NN JJ CD NN,JJ JJ NN CD FW,JJ JJ NN CD NN
1711,base global pooling,JJ JJ NN,NN JJ NN,NN JJ NN,NN JJ NN,VB JJ NN,NN JJ NN
1712,global max pooling 3d,JJ JJ NN NNP,JJ JJ VBG CD,JJ JJ NN NN,JJ JJ JJ NN,JJ JJ NN NNS,JJ JJ VBG CD
1713,global average pooling basic test,JJ JJ JJ JJ NN,JJ JJ JJ JJ NN,JJ JJ NN JJ NN,JJ JJ JJ JJ NN,JJ JJ NN JJ NN,JJ JJ NN JJ NN
1714,global average pooling correctness test,JJ JJ NN NN NN,JJ JJ JJ JJ NN,JJ JJ NN NN NN,JJ JJ JJ NNS NN,JJ JJ NN NN NN,JJ JJ NN NN NN
1715,max pooling basic test,JJ NN JJ NN,JJ VBG JJ NN,JJ NN JJ NN,JJ JJ JJ NN,JJ NN JJ NN,JJ VBG JJ NN
1716,max pooling correctness test,JJ NN NN NN,JJ VBG JJ NN,JJ NN NN NN,JJ JJ NN NN,JJ NN NN NN,JJ VBG NN NN
1717,average pooling basic test,JJ JJ JJ NN,JJ JJ JJ NN,JJ NN JJ NN,JJ JJ JJ NN,JJ NN JJ NN,JJ NN JJ NN
1718,average pooling correctness test,JJ NN NN NN,JJ JJ JJ NN,JJ NN NN NN,JJ JJ NNS NN,JJ NN NN NN,JJ NN NN NN
1719,global max pooling 2 d,JJ JJ NN CD FW,JJ JJ JJ CD NN,JJ JJ NN CD NN,JJ JJ JJ CD NN,JJ JJ NN CD FW,JJ JJ NN CD NN
1720,global average pooling 3d,JJ JJ NN NNP,JJ NN NN CD,JJ JJ NN NN,JJ JJ JJ CD,JJ JJ NN NNS,JJ JJ NN CD
1721,global max pooling 1 d,JJ JJ NN CD FW,JJ JJ JJ CD NN,JJ JJ NN CD NN,JJ JJ JJ CD NN,JJ JJ NN CD FW,JJ JJ NN CD NN
1722,global max pooling basic test,JJ JJ NN JJ NN,JJ JJ JJ JJ NN,JJ JJ NN JJ NN,JJ JJ JJ JJ NN,JJ JJ NN JJ NN,JJ JJ VBG JJ NN
1723,global max pooling correctness test,JJ JJ NN NN NN,JJ JJ JJ JJ NN,JJ JJ NN NN NN,JJ JJ JJ NNS NN,JJ JJ NN NN NN,JJ JJ VBG NN NN
1724,max pooling 2 d,JJ NN CD FW,JJ VBG CD NN,JJ NN CD NN,JJ JJ CD NN,JJ NN CD FW,JJ NN CD NN
1725,global average pooling 1 d,JJ JJ NN CD NNP,JJ NN JJ CD NN,JJ JJ NN CD NN,JJ NN JJ CD NN,JJ JJ NN CD FW,JJ JJ NN CD NN
1726,base pooling,JJ NN,NN NN,NN NN,NN JJ,VB NN,NN NN
1727,average pooling 2 d,JJ NN CD FW,JJ JJ CD NN,JJ NN CD NN,VB JJ CD NN,JJ NN CD FW,JJ NN CD NN
1728,p re lu test,FW NNP NNP NNP,VB FW VB NN,NN IN NN NN,VB VB NN NN,FW RB VB NN,FW FW NNP NN
1729,re lu test,NNP NNP NN,VB VB NN,IN VB NN,VB NN NN,RB VB NN,IN NNP NN
1730,activation,NN,NN,NN,NN,NN,NN
1731,p re lu,FW NNP NNP,VB FW NN,NN IN NN,VB NN NN,FW RB FW,FW FW NNP
1732,activation test,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
1733,elu test,NNP NN,VB NN,VB NN,VB VB,VB NN,NNP NN
1734,leaky re lu test,JJ NNP NNP NN,VB NN NN NN,VB IN NN NN,VB VB NN NN,NN RB VB NN,VB NN NN NN
1735,leaky re lu,JJ NNP NNP,VB NN NN,VB IN NN,VB NN NN,NN RB FW,JJ NN NNP
1736,elu,NNP,VB,VB,VB,VB,NN
1737,softmax test,NNP NN,VB NN,VB NN,NN NN,NN NN,NN NN
1738,time distributed test,NN JJ NN,NN VBN NN,NN VBN NN,NN JJ NN,NN VBN NN,NN VBN NN
1739,masked dense,JJ JJ,VBN NN,VB NN,JJ NN,VBN NN,VBN JJ
1740,assert num queries context,VB NN NNS NN,VB NN NNS NN,VB NN NNS NN,VB NN NNS NN,VB NN NNS NN,VB NN NNS NN
1741,assert template used context,VB NN JJ NN,VB NN VBN NN,VB NN VBN NN,VB NN VBN NN,VB NN VBN NN,VB NN VBN NN
1742,assert template not used context,VB NN RB JJ NN,VB NN RB VBN NN,VB NN RB VBN NN,VB NN RB VBN NN,VB NN RB VBN NN,VB NN RB VBN NN
1743,database operation forbidden,NN NN VBN,NN NN NN,NN NN NN,VB NN NN,VB NN NN,NN NN JJ
1744,database failure,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
1745,simple test case,JJ NN NN,VB NN NN,VB NN NN,VB NN NN,JJ NN NN,JJ NN NN
1746,transaction test case,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
1747,test data,NN NN,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1748,check condition,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1749,quiet wsgi request handler,JJ NNP NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,JJ NNP NN NN
1750,fs files handler,NNP NNS NN,VB NNS NN,NN NNS NN,VB NNS NN,VB NNS NN,VB NNS NN
